358.597,0,8,60,19,0,17,31,15
358.607,0,8,60,20,0,17,31,15
358.617,0,8,60,19,0,17,31,15
358.627,0,8,64,19,0,17,34,15
358.637,0,8,60,19,0,17,34,15
358.647,0,8,64,19,0,17,34,15
358.657,0,8,60,19,0,18,34,15
358.667,0,8,64,19,0,17,35,15
358.677,0,8,64,19,0,17,35,15
358.687,0,8,64,19,0,18,35,14
358.697,0,8,60,19,0,18,35,14
358.707,0,8,64,19,0,17,35,15
358.717,0,8,64,19,0,18,35,15
358.727,0,8,64,19,0,17,35,14
358.737,0,8,64,19,0,17,35,14
358.747,0,8,64,19,0,18,35,14
358.757,0,8,64,19,0,18,35,14
358.767,0,8,64,19,0,17,35,14
358.777,0,8,64,19,0,17,35,14
358.787,0,8,64,19,0,18,35,14
358.797,0,8,64,19,0,18,35,14
358.807,0,8,64,18,0,18,35,13
358.817,0,8,64,18,0,18,35,13
358.827,0,8,64,18,0,18,35,13
358.837,0,8,64,19,0,19,35,13
358.847,0,8,64,18,0,19,35,13
358.857,0,8,64,18,0,19,36,12
358.867,0,8,64,18,0,19,37,12
358.877,0,8,64,17,0,19,36,12
358.887,0,8,64,17,0,19,37,12
358.897,0,8,64,17,0,20,37,12
358.907,0,8,64,17,0,20,37,12
358.917,0,9,64,17,0,20,37,12
358.927,0,9,64,17,0,20,37,12
358.937,0,8,64,17,0,20,38,12
358.947,0,9,64,17,0,20,39,12
358.957,0,9,64,17,0,20,39,11
358.967,0,9,64,17,0,21,39,12
358.977,0,9,64,17,0,21,39,12
358.987,0,8,64,17,0,21,40,11
358.997,0,9,64,17,0,21,40,12
358.999,0,9,64,17,0,21,40,11
358.999,0,9,64,17,0,21,41,11
359.003,0,9,64,17,0,21,40,11
359.013,0,9,64,17,0,21,40,11
359.023,0,9,64,17,0,21,40,11
359.033,0,9,64,17,0,21,41,11
359.043,0,9,64,17,0,21,41,11
359.053,0,9,64,17,0,21,40,11
359.063,0,9,64,17,0,22,40,11
359.073,0,9,64,17,0,22,40,11
359.083,0,9,64,17,0,22,41,11
359.093,0,9,64,17,0,22,41,11
359.103,0,9,64,17,0,22,40,11
359.113,0,9,64,17,0,22,40,11
359.123,0,9,64,17,0,22,41,10
359.133,0,9,64,17,0,23,41,10
359.143,0,9,64,17,0,23,41,10
359.153,0,9,64,17,0,23,41,11
359.163,0,9,64,17,0,23,41,11
359.173,0,9,64,17,0,23,41,11
359.183,0,9,68,17,0,23,41,11
359.193,0,9,64,17,0,23,40,11
359.203,0,9,68,18,0,23,41,11
359.213,0,9,68,17,0,23,40,11
359.223,0,9,64,19,0,23,40,11
359.233,0,9,68,19,0,23,39,11
359.243,0,9,68,20,0,23,39,11
359.253,0,9,64,20,0,22,37,11
359.263,0,9,64,20,0,20,37,11
359.273,0,9,64,21,0,20,36,11
359.283,0,9,64,21,0,19,35,11
359.293,0,9,68,21,0,19,34,11
359.303,0,9,68,21,0,18,31,11
359.313,0,8,68,22,0,18,31,11
359.323,0,8,68,22,0,17,31,11
359.333,0,8,72,22,0,17,30,11
359.343,0,8,72,23,0,17,29,11
