T101,T102,T103,T104,T105,T106,T107,T108,T109,T110,T111,T112,T113,T114,T115,T116,T117,T118,T119,T120,T121,T122,T123,T124,T201,T202,T203,T204,T205,T206,T207,T208,T209,T210,T211,T212,T301,mode
0.812966828,-0.129604571,-0.119236562,0.811673972,-0.06715878,0.062977907,0.345122107,0.290752847,-0.019339631,0.756500118,-0.010496746,-0.125370731,0.898392009,-0.041102385,-0.074325661,1.045912384,0.025031176,-0.205957267,1.073676651,-0.159232417,-0.16442595,1.124053482,-0.490682358,0.063520795,0.209243488,-0.706824108,-0.782462248,-0.060342523,-0.545882575,0.667693224,0.743823043,-0.8043962,-0.377280875,-0.253069379,-0.69839536,-0.152094958,3280.357895,walking
1.100468508,-0.791517231,0.326409931,-0.626170779,-0.626715411,-0.128043438,0.665302782,-5.55E-17,-0.334697218,0.653097843,0.087650592,-0.109315126,0.931245728,-0.054683067,-0.069291601,1.114613763,-0.016379987,-0.22845228,0.989866798,-0.200991638,-0.082422453,1.014107629,-0.159655633,-0.140392178,0.175384073,-0.134742014,-0.743212164,0.054690282,-0.018506843,-0.07298686,0.791159645,-0.723500423,-0.478599896,-0.197029848,-0.722555823,-0.037847592,4291.542105,walking
0.643198563,-0.293381125,0.369136573,1.061412348,-0.40038941,0.163626999,0.771186441,-0.181818182,-0.046995378,0.666603885,0.047205743,-0.064530502,0.940387456,-0.015577809,-0.119133631,1.099868519,-0.037769075,-0.199832375,0.988783122,-0.086958561,-0.12423698,0.500679627,0.342135939,-0.137903427,0.693545734,-0.212079021,-0.796035592,0.15233959,-0.764087702,0.276899277,0.726059717,-0.876568929,-0.494981357,-0.356051975,-0.805929954,0.089998375,4279.031579,walking
1.236431769,-0.525834756,0.0596003,0.731222236,-0.003116503,0.031453183,0.451399116,-0.035935199,0.137113402,0.672625661,-0.014386365,-0.002420894,0.945495365,-0.031227502,-0.108639308,1.031507179,0.04813576,-0.224857567,0.996687739,-0.064810279,-0.130000221,0.707571586,0.095154185,-0.104928414,0.822457287,-0.281103996,-0.803825156,-0.088176428,-0.838310798,0.326839987,0.658486089,-0.861252184,-0.487690254,-0.275828258,-0.799129562,0.037333667,3095.023684,walking
1.267589087,-0.508805008,-0.022513302,0.501915758,-0.247435681,0.08951097,0.442608696,0.293913043,-0.157391304,0.783701206,-0.053821917,-0.074294952,0.95283841,-0.031104448,-0.125534701,1.029679172,-0.009704714,-0.183237243,0.918814491,0.138407267,-0.286052899,0.373864907,0.309579531,0.017221551,0.489521538,-0.736284385,-0.85476076,-0.546941769,-0.85561457,0.787029678,0.662287552,-0.821209347,-0.451869602,-0.235228068,-0.810792546,-0.036522213,4116.947368,walking
0.813594609,0.125205661,-0.135327071,0.342629541,0.069385626,0.207115522,0.741573034,-0.494505495,0.236078528,0.696981481,0.124728197,-0.180225471,0.923530133,-0.014288404,-0.110468536,1.058916775,-0.02684857,-0.176549316,0.992532194,-0.039119343,-0.162833372,0.720791865,-0.302033752,0.220791865,0.827956989,-0.578728195,-0.843669114,-0.718421208,-0.888895365,0.827637296,0.803566046,-0.921285814,-0.374356921,-0.585373346,-0.671605699,0.062846291,5612.215789,walking
0.810908571,-0.152352128,-0.174958486,1.201410765,-0.079436872,-0.248709421,0.934112747,-0.056103891,-0.066506153,-0.002687202,-0.005291079,-0.007922804,0.047490645,0.034049637,0.021516619,1.062681844,-0.063394541,-0.200766975,0.68649564,0.024123964,-0.061841724,1.126174586,0.050216193,-0.301703748,0.147957176,-0.111278603,-0.557116106,0.816647894,-0.285380621,-0.323711248,-0.046003018,-0.303869517,-0.304811816,-0.432015039,-0.761137797,0.598193772,10481.07368,walking
0.901011092,-0.040980344,-0.15796856,0.722494176,0.104174856,-0.124444599,-0.002687202,-0.005291079,-0.007922804,0.726691883,-0.031068373,-0.055362672,0.951284482,-0.037932686,-0.107975223,1.143536666,-0.023655511,-0.248765892,1.010300297,0.002066999,-0.230820724,0.942688973,0.035296606,-0.25841711,0.638565694,-0.329128573,-0.779002214,-0.473684211,-0.7194698,0.7194698,0.812126255,-0.92689948,-0.488342609,-0.605998426,-0.721625316,0.146477722,6004.081579,walking
0.639114724,-0.020325203,-0.17570009,0.542712605,-0.251737267,-0.166025259,0.469345163,-0.257099581,-0.10634291,0.692538533,0.099356676,-0.181480999,0.946116243,-0.014531173,-0.120351893,1.020784021,0.005154139,-0.179889591,1.013221767,-0.181022298,-0.051223276,0.478884945,0.004926597,0.039229772,-0.170996392,0.05967624,-0.776052865,-0.771454276,-0.099419084,0.110848198,0.771262016,-0.835465695,-0.396406459,-0.347471588,-0.654588564,-0.045926057,3491.602632,walking
-0.002687202,-0.005291079,-0.007922804,-0.162841024,-0.049510305,-0.089156813,0.400100447,-0.335035025,0.18306748,0.921041855,-0.308186265,-0.012756054,1.022308853,-0.195718204,-0.016265236,0.852854849,-0.12304463,0.085899022,0.931956335,-0.018395679,-0.069625717,0.385518663,-0.14532872,-0.018736656,0.523790133,0.700472797,0.66864119,0.292903951,-0.097942453,0.634505121,0.96930805,0.759617471,-0.183506757,0.802692046,-0.077515128,0.01477877,317.2421053,downstairs
-0.055796581,-0.008826125,-0.008676163,0.822755126,-0.2666286,-0.076512273,-0.028034876,-0.032117615,-0.036473695,0.879486603,-0.088060474,-0.159575897,0.984961812,-0.086219268,-0.062620982,0.932842204,-0.005513452,-0.102233737,0.824835604,0.237899352,-0.26723484,0.984249731,0.011958799,-0.197385946,-0.524749768,-0.067651009,0.524682739,-0.141999405,-0.809294942,0.572227531,0.94855679,0.911819592,-0.944108034,0.904345723,-0.943118484,-0.879039095,673.7157895,downstairs
-0.002687202,-0.005291079,-0.007922804,0.777666861,-0.136997421,0.079060094,1.043684217,-0.190459356,-0.020559718,1.376387049,-0.47342496,-0.059611735,0.907757866,-0.004587313,-0.053277664,0.943432073,0.01413678,-0.104641062,0.776155777,0.004802781,-0.128039764,0.964482537,-0.204794839,-0.104178572,0.454407035,0.365313136,0.046993415,0.915682157,0.414846125,0.563673253,0.95107729,-0.249097944,-0.712969243,-0.484084167,-0.688586305,0.322256606,891.4078947,downstairs
-0.002687202,-0.005291079,-0.007922804,0.064090408,-0.096944978,-0.224007479,0.592197004,-0.333970489,0.138469497,0.751503094,-0.146621221,-0.096766901,1.033249629,-0.118105651,-0.058821593,0.671209927,0.153816874,-0.122618659,0.832121526,-0.045039453,-0.142153922,0.288039098,0.276202421,-0.041229195,0.688247202,0.850394947,0.742306738,0.429772247,0.217734777,0.932771376,0.857289603,0.001949676,-0.263111716,-0.383613048,-0.43481367,0.669037409,288.6973684,downstairs
1.067775208,-0.75280746,0.320584197,0.64218798,-0.083401912,-0.126330539,0.198798216,0.478147721,-0.207338372,-0.002687202,-0.005291079,-0.007922804,0.684842895,-0.140011015,-0.126639539,0.737703871,-0.105503079,-0.094258618,0.721304435,-0.035002481,-0.227499519,-0.062784194,-0.065108984,-0.067759318,0.86531333,0.65448683,0.499352471,0.763107378,0.760604674,0.67692767,0.683656085,0.398318992,-0.011076296,0.684257074,0.064909178,0.329921002,96.27631579,downstairs
0.643801258,-0.387291982,0.170117048,0.785827623,-0.382147838,0.024958058,0.711308057,-0.066699856,-0.173654967,-0.002687202,-0.005291079,-0.007922804,0.880294233,-0.058401159,-0.048414464,0.875773951,0.029520391,-0.077127738,1.175102803,-0.197729336,-0.235296151,0.678246105,-0.21354997,0.262479798,0.729324957,0.919869777,0.82309878,0.740741112,0.512989176,0.729174169,0.926515309,0.723238638,0.224646158,0.600719855,0.461027195,-0.134276645,312.6105263,downstairs
0.652104568,-0.451627436,0.225021235,0.494852113,0.047069307,-0.301527977,0.548850453,0.110632516,-0.084510039,-0.002687202,-0.005291079,-0.007922804,0.936660462,0.07216596,-0.151381984,0.959787087,0.012689181,-0.133695685,1.078286893,-0.21109183,-0.000479227,1.057557792,-0.093947487,-0.119646321,0.026860765,0.492718899,-0.076471911,0.459190253,0.66552648,0.78143293,0.971210927,0.978612728,-0.962474378,0.962400344,-0.95303288,-0.957745809,1519.621053,downstairs
0.993893482,-0.158472848,-0.106766713,1.137456655,-0.044899107,-0.271384631,1.138019662,-0.000204279,-0.262666062,1.02854152,-0.169807136,-0.145428151,1.035120496,0.039431406,-0.352630908,1.089967946,0.065310059,-0.2860554,1.009967936,-0.010269924,-0.143399912,0.726927055,0.002513395,-0.134959214,0.822577809,0.251387087,-0.247523055,0.679455399,0.133955378,0.585179584,0.808445153,0.848095864,0.701111443,0.978538923,0.547057664,0.679367775,19410.95263,downstairs
0.716731989,-0.466575052,0.218672827,0.521704321,0.077488694,-0.161722122,0.195159805,0.095759261,0.181416879,-0.002687202,-0.005291079,-0.007922804,0.936997744,-0.038447205,-0.060684989,0.926830229,0.000595913,-0.100541846,0.834893086,0.105301077,-0.186787131,0.902270998,-0.393210652,0.156687555,0.755010574,0.782276002,0.767966671,0.681279547,0.607570599,0.891808072,0.990285411,0.895845324,-0.758001227,0.920632683,-0.760195567,-0.749229048,5409.526316,downstairs
0.979580213,-0.155842364,-0.184264681,0.601121814,-0.281623965,0.173074928,-0.157957345,0.308507151,0.309392979,-0.002687202,-0.005291079,-0.007922804,0.838639374,0.067927788,-0.143466484,0.928971395,-0.02380057,-0.099004097,1.06393675,0.010729546,-0.227422331,0.726736771,0.065130141,0.023262551,0.348324845,0.671748283,0.510866244,0.197599199,0.501399972,0.831023647,0.950037146,0.637747212,-0.749674258,0.830224595,-0.899192203,-0.924502024,1260.928947,downstairs
0.505097142,0.280528958,0.015301223,0.866869037,-1.39E-17,-0.133130963,0.556277056,0.246753247,-0.261904762,1.031605252,-0.174994514,-0.044227096,0.587399758,0.09274582,0.022063322,0.855657486,0.120090903,-0.161544349,0.902120239,-0.045974002,-0.058531156,0.962356368,0.046579205,-0.163234014,0.485453323,-0.341235324,-0.689754896,-0.866614902,-0.87836981,0.664185196,0.905112009,0.941423622,-0.793773113,0.982003692,-0.948656347,-0.916897184,612.9078947,upstairs
-0.062784194,-0.065108984,-0.067759318,0.489237673,0.155263781,-0.127720304,0.978726186,-0.529087798,0.290052005,1.01076574,-0.142864094,-0.116462021,0.873937656,0.059942344,-0.14560438,1.036893809,-0.016684817,-0.155539526,1.061792143,0.00187999,-0.200770863,0.768035943,0.111108336,-0.081682279,-0.260273603,-0.056478249,-0.044351746,0.732646429,0.443173425,0.703879416,0.928931077,0.891239807,-0.812308868,0.990469368,-0.922507693,-0.93311395,1317.713158,upstairs
0.673050616,0.177589852,-0.091655267,0.486392924,0.040788259,-0.193094256,0.374509655,0.111139055,0.042473338,1.001728715,-0.225397168,-0.01184397,-0.002687202,-0.005291079,-0.007922804,0.705939333,0.225836418,-0.160574779,0.957075504,-0.091098997,-0.069215494,1.049417388,-0.107085439,-0.107840677,-0.232008084,-0.226018222,-0.808605711,0.417506798,0.513075982,0.626420134,0.587021963,0.509221907,-0.414088635,0.987426063,-0.94844265,-0.944404883,592.7763158,upstairs
0.698656398,0.01238735,0.004538751,0.808311192,-0.358986293,0.0234826,0.571923842,0.043743248,-0.113940032,1.013382308,-0.231576826,-0.063753068,-0.002687202,-0.005291079,-0.007922804,0.757914,-0.006680832,-0.008900381,0.882484561,-0.00104495,-0.077749375,0.985657059,-0.010866344,-0.152130886,0.095059783,-0.336958144,-0.681949123,0.644040017,0.277990341,0.717977283,0.631094542,0.483562423,-0.397238135,0.967592766,-0.935004031,-0.982301402,531.2868421,upstairs
0.821100917,-3.33E-16,-0.178899083,0.416957302,0.310010764,-0.343042698,0.783444938,-0.238553341,-0.027254651,1.110729595,-0.406585486,0.116952715,0.336548542,0.364526763,-0.13021552,0.888639349,-0.105649182,0.013098744,0.90980724,-0.00321085,-0.100466247,1.015950939,0.012829427,-0.171342878,-0.152426245,-0.308619814,-0.434512917,0.7823356,0.541701272,0.477696464,0.823305375,0.773691321,-0.639200538,0.984290543,-0.922265183,-0.956630921,649.4342105,upstairs
0.718183222,0.102223869,-0.088143441,0.691615452,0.083955224,-0.13191396,0.765859716,0.170254182,-0.193993662,1.030711026,-0.12828569,-0.201081094,-0.002687202,-0.005291079,-0.007922804,0.836949513,-0.087007803,0.000969754,0.911395268,-0.051381675,-0.078686115,0.928348192,0.01303816,-0.11977376,-0.12482675,-0.532947384,-0.695258556,0.778009291,0.577270761,0.786930536,0.598986047,0.497364371,-0.358177391,0.97015008,-0.894564918,-0.96460705,886.6894737,upstairs
-0.002687202,-0.005291079,-0.007922804,0.866791295,-0.179994099,0.046785394,0.531541691,0.074990987,0.049676406,1.058575053,-0.245238813,0.005203402,0.860215007,-0.029449022,-0.05226828,1.035745091,0.018766918,-0.220726673,1.021676453,0.079324796,-0.254378833,0.884804098,0.050026578,-0.13311874,0.235639417,0.674837002,0.369835726,-0.019747358,-0.552472142,0.680908498,0.960292024,0.852704096,-0.855009766,0.940613951,-0.907950747,-0.944645609,675.5315789,upstairs
-0.002687202,-0.005291079,-0.007922804,0.428295368,0.359690127,-0.059704632,0.592691317,0.21341278,-0.279571456,1.146118861,-0.436775479,0.130738189,0.583915221,0.058742233,-0.071916519,0.922625653,-0.0697481,-0.041035487,0.921478119,-0.018871632,-0.084523903,1.012346433,-0.117795418,-0.053800508,0.208732335,0.744161101,0.366673059,0.160978866,-0.592449389,0.614230715,0.830793818,0.772607965,-0.643618798,0.97898338,-0.939917262,-0.977472097,672.2263158,upstairs
-0.002687202,-0.005291079,-0.007922804,0.062030417,0.154133484,-0.008537569,0.306687811,0.2003387,0.066921729,0.977714772,-0.185350596,0.003998116,1.019862196,-0.568228951,0.142311176,0.997392715,-0.029944615,-0.13383256,1.154503627,-0.107711268,-0.180245056,1.053963307,0.007903802,-0.197075215,0.524749768,0.713050429,0.41533786,0.491102124,0.27549259,0.68131956,0.699404169,0.52871499,-0.422050013,0.970523601,-0.884054418,-0.941940641,2366.176316,upstairs
1.002277958,0.057518773,-0.280563494,1.074515631,0.047275328,-0.358127356,0.958982597,-0.022434395,-0.121495929,0.829572764,0.008930828,-0.112897625,-0.002687202,-0.005291079,-0.007922804,0.89202419,0.049573315,-0.146194846,0.955521591,0.161644081,-0.284251863,0.964701002,-0.047855193,-0.100221187,0.571301646,0.140016139,-0.737925707,0.857466006,-0.182473259,0.191661128,0.466595256,0.373796897,0.437618197,0.96565954,0.945115193,0.978402163,5483.447368,upstairs
-0.002687202,-0.005291079,-0.007922804,-0.002687202,-0.005291079,-0.007922804,-0.478366225,-0.298252022,-0.38409013,0.109713001,-0.147783251,-0.129417434,-0.002687202,-0.005291079,-0.007922804,-0.002687202,-0.005291079,-0.007922804,0.140663388,-0.048418096,0.034972331,-0.002687202,-0.005291079,-0.007922804,1,-0.088121024,-0.114707867,-0.088121024,-0.114707867,0.28808298,1,0.187317162,1,0.187317162,1,0.187317162,10.94473684,sitting
-0.002687202,-0.005291079,-0.007922804,-0.002687202,-0.005291079,-0.007922804,0,0,-0.25,-0.055796581,-0.008826125,-0.008676163,-0.002687202,-0.005291079,-0.007922804,-0.002687202,-0.005291079,-0.007922804,0.209949792,-0.37166096,0.231455168,-0.002687202,-0.005291079,-0.007922804,1,0.512989176,-0.052631579,0.512989176,-0.052631579,0,1,-0.150187852,1,-0.150187852,1,-0.150187852,3.889473684,sitting
-0.002687202,-0.005291079,-0.007922804,-0.002687202,-0.005291079,-0.007922804,-0.437380048,-0.266623573,-0.337270037,-0.581048849,-0.246654713,-0.127108783,-0.002687202,-0.005291079,-0.007922804,-0.147605159,-0.152042964,-0.108001199,0.202034884,0.130232558,0.077034884,-0.002687202,-0.005291079,-0.007922804,1,-0.168345125,-0.253628637,-0.168345125,-0.253628637,0.031606977,0.076471911,-0.229415734,1,0.333333333,0.076471911,-0.229415734,4.65,sitting
-0.002687202,-0.005291079,-0.007922804,-0.002687202,-0.005291079,-0.007922804,0.087436163,0.329444826,-0.185819651,0.362573099,-0.076023392,0.140350877,-0.002687202,-0.005291079,-0.007922804,-0.002687202,-0.005291079,-0.007922804,0.475404814,-0.099197666,0.115404814,-0.002687202,-0.005291079,-0.007922804,1,-0.096373885,-0.229415734,-0.096373885,-0.229415734,0.420084025,1,0.132453236,1,0.132453236,1,0.132453236,9.3,sitting
-0.002687202,-0.005291079,-0.007922804,-0.099791014,-0.114106583,-0.069487983,0.199729938,0.140103689,-0.475157954,-0.146212566,-0.297709924,0.161479742,-0.002687202,-0.005291079,-0.007922804,-0.062784194,-0.065108984,-0.067759318,-0.049083623,-0.005799652,-0.091987913,-0.002687202,-0.005291079,-0.007922804,-0.132453236,-0.032773676,0.229415734,0.08247861,0.577350269,0,0.052631579,-0.312640946,1,0.312640946,0.052631579,-0.312640946,9.152631579,sitting
-0.002687202,-0.005291079,-0.007922804,-0.076451897,-0.083460338,0.408696618,0.333762469,-0.249190989,-0.061841926,-0.116914417,0.025968557,0.196644905,-0.002687202,-0.005291079,-0.007922804,-0.002687202,-0.005291079,-0.007922804,-0.062784194,-0.065108984,-0.067759318,-0.002687202,-0.005291079,-0.007922804,-0.076471911,-0.288429975,-0.280975743,0.179605302,0.272165527,0.109985336,1,0.052631579,1,0.052631579,1,0.052631579,5.818421053,sitting
-0.002687202,-0.005291079,-0.007922804,-0.002687202,-0.005291079,-0.007922804,-0.030045791,-0.114059189,-0.37645102,-0.155511077,-0.159663256,-0.165412067,-0.002687202,-0.005291079,-0.007922804,-0.002687202,-0.005291079,-0.007922804,-0.03835962,0.214294309,0.273347009,-0.002687202,-0.005291079,-0.007922804,1,-0.465773337,-0.076471911,-0.465773337,-0.076471911,0.364405444,1,0.312640946,1,0.312640946,1,0.312640946,7.489473684,sitting
